customerid,total_revenue,total_orders,avg_order_value
12346.0,77556.46,12,2281.0723529411766
12347.0,5633.32,8,22.26608695652174
12348.0,2019.3999999999999,5,39.59607843137255
12349.0,4428.6900000000005,4,25.306800000000003
12350.0,334.40000000000003,1,19.67058823529412
12351.0,300.93,1,14.33
12352.0,2849.84,10,27.668349514563108
12353.0,406.76,2,16.948333333333334
12354.0,1079.4,1,18.610344827586207
12355.0,947.61,2,27.074571428571428
12356.0,6373.68,6,44.57118881118881
12357.0,18287.66,3,61.78263513513514
12358.0,3887.07,5,50.48142857142857
12359.0,8935.94,10,24.482027397260275
12360.0,4252.89,8,19.59857142857143
12361.0,511.25,4,17.629310344827587
12362.0,5356.2300000000005,11,20.060786516853934
12363.0,552.0,2,24.0
12364.0,1313.1,4,15.448235294117646
12365.0,641.38,2,29.153636363636362
12366.0,500.24,1,166.74666666666667
12367.0,168.9,1,15.354545454545455
12368.0,917.7,1,50.983333333333334
12369.0,1791.15,3,19.25967741935484
12370.0,4320.31,7,21.387673267326736
12371.0,4067.38,5,24.35556886227545
12372.0,1298.04,3,24.962307692307693
12373.0,1127.65,3,22.110784313725492
12374.0,2989.2200000000003,4,36.01469879518073
12375.0,457.5,2,26.91176470588235
12376.0,503.15,2,38.70384615384615
12377.0,3426.32,4,22.54157894736842
12378.0,5416.32,2,17.994418604651162
12379.0,1620.22,4,20.002716049382716
12380.0,9676.300000000001,11,34.93249097472925
12381.0,1845.31,5,21.21045977011494
12383.0,1850.56,5,18.69252525252525
12384.0,585.27,2,21.676666666666666
12385.0,1938.4,1,29.821538461538463
12386.0,660.8000000000001,2,36.711111111111116
12387.0,143.94,1,15.993333333333332
12388.0,3901.11,8,26.719931506849317
12389.0,1433.33,3,29.251632653061222
12390.0,549.84,1,17.1825
12391.0,2773.42,6,9.86982206405694
12392.0,234.75000000000003,1,33.53571428571429
12393.0,2399.45,6,22.424766355140186
12394.0,1272.48,2,47.12888888888889
12395.0,5067.27,15,19.94988188976378
12396.0,931.4300000000001,1,14.329692307692309
12397.0,2409.9,2,19.126190476190477
12398.0,1635.6599999999999,1,19.24305882352941
12399.0,1962.3,7,17.83909090909091
12400.0,205.25,1,18.65909090909091
12401.0,84.3,1,16.86
12402.0,1256.9,6,17.955714285714286
12403.0,1019.36,2,113.26222222222222
12404.0,63.24,1,63.24
12405.0,1710.39,1,31.67388888888889
12406.0,6390.36,5,38.49614457831325
12407.0,1708.12,5,22.18337662337662
12408.0,4340.77,8,27.30044025157233
12409.0,23419.29,7,88.70943181818183
12410.0,1013.71,3,25.342750000000002
12411.0,346.9,1,15.768181818181818
12412.0,2596.93,6,20.448267716535433
12413.0,999.45,4,19.597058823529412
12414.0,952.4100000000001,6,34.01464285714286
12415.0,144458.37,28,156.00255939524837
12416.0,202.56,1,18.414545454545454
12417.0,6816.91,20,18.42408108108108
12418.0,2021.2,4,19.815686274509805
12419.0,503.01,2,20.1204
12420.0,600.39,1,20.70310344827586
12421.0,1098.6,6,16.90153846153846
12422.0,5231.8,17,30.417441860465118
12423.0,2622.39,10,15.893272727272727
12424.0,3340.0299999999997,4,36.30467391304347
12425.0,1741.41,2,19.136373626373626
12426.0,1345.21,2,17.470259740259742
12427.0,1129.3,3,27.54390243902439
12428.0,7956.46,9,27.062789115646257
12429.0,7485.91,8,43.27115606936416
12430.0,256.4,1,23.30909090909091
12431.0,10857.970000000001,27,26.809802469135807
12432.0,5059.32,5,46.845555555555556
12433.0,20581.260000000002,10,29.15192634560907
12434.0,1103.43,3,15.763285714285715
12435.0,13925.93,6,124.33866071428572
12436.0,509.01,1,31.813125
12437.0,12683.4,39,22.52824156305506
12438.0,2906.85,2,29.66173469387755
12439.0,1158.18,2,16.085833333333333
12440.0,859.2,2,26.85
12441.0,347.1,1,15.77727272727273
12442.0,172.06,1,14.338333333333333
12443.0,485.31,1,23.11
12444.0,5005.46,5,28.440113636363638
12445.0,434.98,2,18.124166666666667
12446.0,1002.3100000000001,1,17.584385964912283
12447.0,476.49,1,18.326538461538462
12448.0,449.45,1,20.429545454545455
12449.0,4835.89,6,24.05915422885572
12450.0,688.2,5,18.6
12451.0,12669.88,8,24.794285714285714
12452.0,430.57000000000005,2,19.57136363636364
12453.0,707.09,1,16.443953488372095
12454.0,16679.78,5,416.99449999999996
12455.0,5879.95,10,25.902863436123347
12456.0,3181.04,3,25.44832
12457.0,2995.91,8,35.665595238095236
12458.0,1777.49,4,21.160595238095237
12459.0,454.36,1,19.754782608695653
12460.0,326.65,1,18.147222222222222
12461.0,826.88,2,23.62514285714286
12462.0,1189.59,2,19.186935483870965
12463.0,1344.78,4,16.202168674698793
12464.0,1212.05,8,41.79482758620689
12465.0,742.19,2,15.791276595744682
12466.0,56.73,1,56.73
12467.0,132.8,1,14.755555555555556
12468.0,3670.7400000000002,5,24.471600000000002
12469.0,3070.54,2,40.40184210526316
12470.0,211.95,1,9.215217391304348
12471.0,39963.79,79,35.148452066842566
12472.0,17880.59,19,19.62743139407245
12473.0,3938.55,5,23.44375
12474.0,12424.45,31,17.499225352112678
12475.0,1149.64,2,18.846557377049184
12476.0,14115.41,23,27.35544573643411
12477.0,20276.37,9,35.95101063829787
12478.0,680.99,1,18.91638888888889
12479.0,527.2,1,17.006451612903227
12480.0,5464.85,7,22.58202479338843
12481.0,12361.39,15,31.61480818414322
12482.0,23691.4,29,116.1343137254902
12483.0,5120.58,19,36.83870503597122
12484.0,6370.15,12,13.410842105263157
12485.0,708.1,1,20.826470588235296
12486.0,1037.28,1,21.168979591836734
12487.0,285.3,1,142.65
12488.0,1298.66,3,23.612000000000002
12489.0,334.93,1,22.328666666666667
12490.0,9823.64,21,21.26329004329004
12491.0,460.40000000000003,1,17.70769230769231
12492.0,715.21,3,17.028809523809525
12493.0,433.74,2,19.715454545454545
12494.0,1872.8700000000001,9,16.872702702702703
12495.0,357.4,1,21.023529411764706
12496.0,54.09,2,4.160769230769231
12497.0,6248.5,3,109.62280701754386
12498.0,403.70000000000005,3,17.55217391304348
12499.0,393.72,1,14.582222222222223
12500.0,5955.21,19,40.7891095890411
12501.0,2169.39,1,14.559664429530201
12502.0,3723.87,5,25.332448979591835
12503.0,1126.0,1,563.0
12504.0,779.05,4,38.9525
12505.0,955.2,1,22.742857142857144
12506.0,73.5,1,3.1956521739130435
12507.0,1844.06,4,37.633877551020404
12508.0,398.27,2,5.772028985507246
12509.0,176.5,1,25.214285714285715
12510.0,5178.02,9,35.71048275862069
12511.0,3084.02,1,16.231684210526314
12512.0,138.03,2,4.059705882352941
12513.0,612.29,1,17.494
12514.0,1597.76,2,19.02095238095238
12515.0,383.7,1,23.98125
12516.0,2648.62,4,35.792162162162164
12517.0,2502.84,5,8.812816901408452
12518.0,2056.89,5,16.58782258064516
12519.0,726.54,2,18.1635
12520.0,2634.26,5,17.330657894736845
12521.0,599.68,1,15.781052631578946
12522.0,192.72,2,16.06
12523.0,4372.15,23,17.488599999999998
12524.0,11126.11,17,46.35879166666667
12525.0,973.73,3,16.228833333333334
12526.0,1316.66,3,18.54450704225352
12527.0,735.51,5,22.9846875
12528.0,1933.48,6,21.01608695652174
12529.0,316.48,1,15.07047619047619
12530.0,3759.26,9,23.792784810126584
12531.0,1933.2,2,15.222047244094489
12532.0,349.83000000000004,1,21.864375000000003
12533.0,1367.89,2,18.998472222222222
12534.0,1089.18,1,17.28857142857143
12535.0,716.35,2,21.069117647058825
12536.0,12601.830000000002,3,48.282873563218395
12537.0,732.94,1,17.04511627906977
12538.0,640.45,2,18.836764705882356
12539.0,11214.75,7,22.251488095238095
12540.0,22254.49,33,28.864448767833984
12541.0,981.18,3,18.868846153846153
12542.0,481.88,2,12.355897435897436
12543.0,980.25,1,22.796511627906977
12544.0,372.7,1,19.61578947368421
12545.0,1000.39,2,20.0078
12546.0,1161.5,2,16.833333333333332
